Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,
haircare,SKU0,69.81,55,802,"8,662.00",Non-binary,58,7,96,4,Carrier B,3,Supplier 3,Mumbai,29,215,29,46,Pending,0.2,Road,Route B,187.8,
skincare,SKU1,14.84,95,736,"7,460.90",Female,53,30,37,2,Carrier A,10,Supplier 3,Mumbai,23,517,30,34,Pending,4.9,Road,Route B,503.1,
haircare,SKU2,11.32,34,8,"9,577.75",Unknown,1,10,88,2,Carrier B,8,Supplier 1,Mumbai,12,971,27,31,Pending,4.6,Air,Route C,141.9,
skincare,SKU3,61.16,68,83,"7,766.84",Non-binary,23,13,59,6,Carrier C,2,Supplier 5,Kolkata,24,937,18,36,Fail,4.7,Rail,Route A,254.8,
skincare,SKU4,4.81,26,871,"2,686.51",Non-binary,5,3,56,8,Carrier A,4,Supplier 1,Delhi,5,414,3,92,Fail,3.1,Air,Route A,923.4,
haircare,SKU5,1.70,87,147,"2,828.35",Non-binary,90,27,66,3,Carrier B,4,Supplier 4,Bangalore,10,104,17,57,Fail,2.8,Road,Route A,235.5,
skincare,SKU6,4.08,48,65,"7,823.48",Male,11,15,58,8,Carrier C,4,Supplier 3,Kolkata,14,314,24,1,Pending,1.0,Sea,Route A,134.4,
cosmetics,SKU7,42.96,59,426,"8,496.10",Female,93,17,11,1,Carrier B,2,Supplier 4,Bangalore,22,564,1,99,Fail,0.4,Road,Route C,802.1,
cosmetics,SKU8,68.72,78,150,"7,517.36",Female,5,10,15,7,Carrier C,3,Supplier 4,Mumbai,13,769,8,11,Pending,2.7,Sea,Route B,505.6,
skincare,SKU9,64.02,35,980,"4,971.15",Unknown,14,27,83,1,Carrier A,7,Supplier 2,Chennai,29,963,23,48,Pending,3.8,Rail,Route B,995.9,
skincare,SKU10,15.71,11,996,"2,330.97",Non-binary,51,13,80,2,Carrier C,9,Supplier 5,Kolkata,18,830,5,97,Pass,1.7,Road,Route B,806.1,
skincare,SKU11,90.64,95,960,"6,099.94",Female,46,23,60,1,Carrier A,5,Supplier 2,Kolkata,28,362,11,28,Pending,0.0,Air,Route A,126.7,
haircare,SKU12,71.21,41,336,"2,873.74",Unknown,100,30,85,4,Carrier A,1,Supplier 4,Kolkata,3,563,3,32,Fail,2.2,Road,Route B,403.0,
skincare,SKU13,16.16,5,249,"4,052.74",Male,80,8,48,9,Carrier A,10,Supplier 5,Bangalore,23,173,10,98,Pending,1.6,Road,Route B,547.2,
skincare,SKU14,99.17,26,562,"8,653.57",Non-binary,54,29,78,5,Carrier B,2,Supplier 1,Kolkata,25,558,14,6,Pending,0.1,Air,Route B,929.2,
skincare,SKU15,36.99,94,469,"5,442.09",Non-binary,9,8,69,7,Carrier B,2,Supplier 1,Bangalore,14,580,7,97,Pass,2.3,Sea,Route B,127.9,
